,sentence,age,gender,language,paths
26,تعرّض للإصابة عندما كان يلعب الركبي.,not_defined,not_defined,Arabic,common_voice_ar_20907897.wav
27,إتفقوا على انتخابه رئيساً.,not_defined,not_defined,Arabic,common_voice_ar_19222360.wav
28,.يا له من كلب كبير,twenties,male,Arabic,common_voice_ar_19205154.wav
29,أحب قصص الغرام.,not_defined,not_defined,Arabic,common_voice_ar_19236913.wav
30,أعرف اسمه.,not_defined,not_defined,Arabic,common_voice_ar_19533052.wav
31,.الأمل ليس استراتيجية,not_defined,not_defined,Arabic,common_voice_ar_19382768.wav
32,كنت مشغولاً.,twenties,female,Arabic,common_voice_ar_19228437.wav
33,رجل ميت ليس له فائدة في المزرعة,not_defined,not_defined,Arabic,common_voice_ar_19236912.wav
34,.اِقطع الكعكة بالسكين,twenties,female,Arabic,common_voice_ar_19855706.wav
35,القرار النهائي بيد الطلبة.,not_defined,not_defined,Arabic,common_voice_ar_19375159.wav
36,المشتري هو أضخم كوكب في المجموعة الشمسية.,twenties,male,Arabic,common_voice_ar_21262384.wav
37,.لا تتحدى من ليس لديه ما يخسره,thirties,female,Arabic,common_voice_ar_19179148.wav
38,اِسمح لي أن أعرّفك بمايوكو.,not_defined,not_defined,Arabic,common_voice_ar_20179031.wav
39,.يبدو المعطف الأحمر جميلاً عليك,not_defined,not_defined,Arabic,common_voice_ar_19204603.wav
40,في البداية واجه صعوبة في التأقلم مع بيته الجديد.,thirties,male,Arabic,common_voice_ar_19219147.wav
41,هيا بنا!,not_defined,not_defined,Arabic,common_voice_ar_19330414.wav
42,إنه صعب أن أتحدث ثلاث لغات,not_defined,not_defined,Arabic,common_voice_ar_19220364.wav
43,خدعها.,not_defined,not_defined,Arabic,common_voice_ar_19968536.wav
44,تستخدم شاحنة التزجيج في رصف الطرق عندما يتوقع الصقيع بين عشية وضحاها,not_defined,not_defined,Arabic,common_voice_ar_19540848.wav
45,هذا هو الباقي.,fourties,male,Arabic,common_voice_ar_20429386.wav
46,.إذا ابتسم المهزوم أفقد المنتصر لذة الفوز,twenties,male,Arabic,common_voice_ar_19164211.wav
47,ابحث عن وظيفة جيّدة.,fourties,male,Arabic,common_voice_ar_20429178.wav
48,.منزلك أكبر من منزلي بثلاث مرات,twenties,male,Arabic,common_voice_ar_19579951.wav
49,بإمكانك أن تطلب منه المساعدة.,not_defined,not_defined,Arabic,common_voice_ar_19527482.wav
50,سأترك القرار الأخير لك.,twenties,male,Arabic,common_voice_ar_19227733.wav
51,طاب مساؤك. أحلام سعيدة .,not_defined,not_defined,Arabic,common_voice_ar_19204870.wav
52,أحسن إلى الناس تستعبد قلوبهم فطالما استعبد الإنسان إحسان,thirties,female,Arabic,common_voice_ar_19177070.wav
53,.هناك بعبع تحت سريري,twenties,male,Arabic,common_voice_ar_19244092.wav
54,درست اللغة الإنجليزية حين كنت هناك.,not_defined,not_defined,Arabic,common_voice_ar_19205289.wav
55,إنك تعيبني دائماً.,not_defined,not_defined,Arabic,common_voice_ar_19204506.wav
56,لا أعرف شيئاً عن ماضيه.,not_defined,not_defined,Arabic,common_voice_ar_19785103.wav
57,هي ممرضة.,twenties,male,Arabic,common_voice_ar_21099403.wav
58,لا أستطيع أن أجد أي خطأ في نظريته.,thirties,male,Arabic,common_voice_ar_21172250.wav
59,أحدهم يتصل بك.,thirties,male,Arabic,common_voice_ar_21172259.wav
60,هذه الجملة ليس لها أي معنى.,thirties,male,Arabic,common_voice_ar_20137009.wav
61,كل من فهمني هم حفنة من الناس.,not_defined,not_defined,Arabic,common_voice_ar_20023514.wav
62,هذا الكرسي يحتاج إلى الإصلاح.,thirties,male,Arabic,common_voice_ar_19285862.wav
63,.من فضلك إلغِ هذا الملفّ,twenties,male,Arabic,common_voice_ar_19164212.wav
64,أنا أحاول أن أنام.,thirties,male,Arabic,common_voice_ar_20137010.wav
65,أنا لستُ سعيدة.,twenties,male,Arabic,common_voice_ar_19234757.wav
66,كيف حال الطقس ؟,teens,male,Arabic,common_voice_ar_19314633.wav
67,إنه لا يسكن في نفس الحي الذي أعيش فيه.,twenties,male,Arabic,common_voice_ar_19234589.wav
68,حصل بيري منه على معلومات هامة.,not_defined,not_defined,Arabic,common_voice_ar_20444748.wav
69,هل ستغني ؟,thirties,female,Arabic,common_voice_ar_19061962.wav
70,أتوقعت أن يقول الحقيقة ؟,teens,female,Arabic,common_voice_ar_19194227.wav
71,في الجزء العلوي من كومة المدخنة ، يمكنك رؤية وعاء المدخنة,not_defined,not_defined,Arabic,common_voice_ar_19204608.wav
72,لقد انتهى كل شيء بالنسبة لي. لقد فقدت عملي.,twenties,male,Arabic,common_voice_ar_20354933.wav
73,أين توني ؟,thirties,female,Arabic,common_voice_ar_20016681.wav
74,.ستبدأ المسرحية في الساعة الثامنة,twenties,male,Arabic,common_voice_ar_19963354.wav
75,""""""" كم عمرك ؟ """" """" ستة عشر عاماً """"""",not_defined,not_defined,Arabic,common_voice_ar_19204868.wav
76,.النهار يتبع الليل,twenties,female,Arabic,common_voice_ar_20065664.wav
77,عليك التصرف بأدب أثناء غيابي ، أتسمع ما أقول ؟,not_defined,not_defined,Arabic,common_voice_ar_21100407.wav
78,خرجت على المعاش السنة الفائتة.,teens,other,Arabic,common_voice_ar_20248419.wav
79,.أنا أركض,not_defined,not_defined,Arabic,common_voice_ar_19212443.wav
80,من صنع رجل الثلج ذاك ؟,not_defined,not_defined,Arabic,common_voice_ar_19205874.wav
81,.أخي ساعدني في حل واجبي,twenties,male,Arabic,common_voice_ar_19164210.wav
82,لا تقرأ في هذه القاعة.,fourties,male,Arabic,common_voice_ar_20429199.wav
83,ابق معنا.,not_defined,not_defined,Arabic,common_voice_ar_19540126.wav
84,اتركني و شأني!,not_defined,not_defined,Arabic,common_voice_ar_19370415.wav
85,الرجل الطويل خرج من البيت.,twenties,male,Arabic,common_voice_ar_20038199.wav
86,أختي تشبه جدتي.,not_defined,not_defined,Arabic,common_voice_ar_19117939.wav
87,لماذا تتجاهل ما أقوله ؟,not_defined,not_defined,Arabic,common_voice_ar_19964898.wav
88,انفجر غضباً.,not_defined,not_defined,Arabic,common_voice_ar_20179032.wav
89,إن الله يمهل ولا يهمل,not_defined,not_defined,Arabic,common_voice_ar_19465398.wav
90,هل تلعب كرة القدم ؟,not_defined,not_defined,Arabic,common_voice_ar_20896991.wav
91,هذا بيتي.,twenties,male,Arabic,common_voice_ar_21204290.wav
92,يقولون بأنه لن يرجع.,not_defined,not_defined,Arabic,common_voice_ar_19117938.wav
93,نظر إلى السماء.,not_defined,not_defined,Arabic,common_voice_ar_21004066.wav
94,إني أحب أن أعمل.,thirties,female,Arabic,common_voice_ar_19062116.wav
95,القليل من العلاج ، والتدليك ، مع بعض المساعدة من الطبيب,not_defined,not_defined,Arabic,common_voice_ar_19476979.wav
96,هل لي أن أستعير مذياعك ؟,twenties,male,Arabic,common_voice_ar_20937862.wav
97,إجلس مستقيماً.,not_defined,not_defined,Arabic,common_voice_ar_19968518.wav
98,.ينقص شوكة,twenties,male,Arabic,common_voice_ar_19322540.wav
99,أولا ، يجب أن أشكركم على مساعدتكم.,fourties,male,Arabic,common_voice_ar_20428741.wav
100,الجميع ينتظرونك.,not_defined,not_defined,Arabic,common_voice_ar_19370416.wav
101,أنا معجب بشجاعتك.,twenties,male,Arabic,common_voice_ar_19706859.wav
102,أستطيع عزف مقطوعات لشوبان.,not_defined,not_defined,Arabic,common_voice_ar_19867384.wav
103,و انت؟,fourties,male,Arabic,common_voice_ar_19850611.wav
104,ماذا حصل ؟,not_defined,not_defined,Arabic,common_voice_ar_21004403.wav
105,السكين ليست حادة.,fifties,male,Arabic,common_voice_ar_20933205.wav
106,اسمي وانج.,not_defined,not_defined,Arabic,common_voice_ar_21100410.wav
107,! لقد كبرت,twenties,female,Arabic,common_voice_ar_19837721.wav
108,ما هي طبيعة عملك في المكتب ؟,not_defined,not_defined,Arabic,common_voice_ar_19738686.wav
109,ركبت القطار الخطأ.,not_defined,not_defined,Arabic,common_voice_ar_19204503.wav
110,من رسم هذه اللوحات ؟,not_defined,not_defined,Arabic,common_voice_ar_19204685.wav
111,.كان باستطاعة أحمد تسلُّق الأشجار العالية عندما كان طفلاً,twenties,male,Arabic,common_voice_ar_21099444.wav
112,.تقع المحطة غرب الفندق,twenties,male,Arabic,common_voice_ar_19209652.wav
113,ذهبنا لمشاهدة فيلم ليلة البارحة.,not_defined,not_defined,Arabic,common_voice_ar_19231205.wav
114,يا لوقاحتك!,twenties,male,Arabic,common_voice_ar_21020836.wav
115,.يلعب بمهارة,thirties,female,Arabic,common_voice_ar_19103343.wav
116,يبدو أننا وقعنا في الفخ.,thirties,female,Arabic,common_voice_ar_19103575.wav
117,.خذ هذا أو ذاك,twenties,female,Arabic,common_voice_ar_19227704.wav
118,أفكر في الذهاب إلى الجبال.,not_defined,not_defined,Arabic,common_voice_ar_19641666.wav
119,أعمل لصالح شركة نفط.,twenties,male,Arabic,common_voice_ar_19233454.wav
120,.حتى الأطفال يمكنهم فهم ذلك,twenties,male,Arabic,common_voice_ar_19395294.wav
121,أعطيت أختي قاموساً.,not_defined,not_defined,Arabic,common_voice_ar_19204505.wav
122,بيل صديقي المفضل.,twenties,male,Arabic,common_voice_ar_21023298.wav
123,متى يمكننا الأكل ؟,twenties,male,Arabic,common_voice_ar_19205119.wav
124,ارفع يديك.,twenties,male,Arabic,common_voice_ar_21262296.wav
125,من الأفضل لك أن تزور طبيبك في الحال.,not_defined,not_defined,Arabic,common_voice_ar_19778920.wav
126,أطع أباك دوماً.,twenties,male,Arabic,common_voice_ar_19361814.wav
127,.إنه يتكلم أكثر مما يجب,twenties,male,Arabic,common_voice_ar_21262283.wav
128,هل أنت وحدك ؟,not_defined,not_defined,Arabic,common_voice_ar_19538084.wav
129,.لدى بتي صوت رقيق,twenties,male,Arabic,common_voice_ar_19968629.wav
130,التحدث بالإنجليزية ليس أمراً سهلاً.,not_defined,not_defined,Arabic,common_voice_ar_19204176.wav
131,لا تقفل الخط من فضلك.,fifties,male,Arabic,common_voice_ar_20933161.wav
132,أبي يحب أمي.,teens,female,Arabic,common_voice_ar_19203813.wav
133,هل طلبت الكتاب ؟,not_defined,not_defined,Arabic,common_voice_ar_19665824.wav
134,.بصراحة لا أوافقك الرأي,not_defined,not_defined,Arabic,common_voice_ar_19488097.wav
135,.السفر يوسع آفاق تفكير المرء,not_defined,not_defined,Arabic,common_voice_ar_19471854.wav
136,من يملك هذه الفِلّا ؟,twenties,male,Arabic,common_voice_ar_19340854.wav
137,هل سنذهب إلى حفلة الغد في قاعة المدينة؟,teens,female,Arabic,common_voice_ar_19191571.wav
138,لقد تأخرت عن العمل.,twenties,male,Arabic,common_voice_ar_19968632.wav
139,.إلى ذلك الحين,twenties,male,Arabic,common_voice_ar_19204413.wav
140,.ضحك الناس عليه,not_defined,not_defined,Arabic,common_voice_ar_19204504.wav
141,.ليركب الجميع,fourties,male,Arabic,common_voice_ar_19375915.wav
142,.إذا كان هذا الكلام صحيحًا ، فسنضطر لقبول النتيجة,twenties,male,Arabic,common_voice_ar_19651953.wav
143,سأحضر بعض كؤوس الشرب.,not_defined,not_defined,Arabic,common_voice_ar_19465397.wav
144,.هذا الدواء سيخفف من صداعك,not_defined,not_defined,Arabic,common_voice_ar_19117940.wav
145,.بالكاد أستطيع سماعك,not_defined,not_defined,Arabic,common_voice_ar_19204373.wav
146,أمي لا يمكنها ركوب الدراجة.,not_defined,not_defined,Arabic,common_voice_ar_19623263.wav
147,.سافرت على نفقتي,not_defined,not_defined,Arabic,common_voice_ar_19540127.wav
148,.الولد عطشان,not_defined,not_defined,Arabic,common_voice_ar_20058646.wav
149,يجب عليك أن تدرس بجهد أكبر.,thirties,female,Arabic,common_voice_ar_20016680.wav
150,إتفقوا على سعر.,twenties,female,Arabic,common_voice_ar_19217565.wav
151,كالعادة تأخر مايك عن إجتماع بعد الظهر.,twenties,male,Arabic,common_voice_ar_19234880.wav
152,جاءت متأخرة كالعادة.,not_defined,not_defined,Arabic,common_voice_ar_19540850.wav
153,دعني أشرح سبب وصولي متأخراً.,not_defined,not_defined,Arabic,common_voice_ar_19380208.wav
154,كنا جميعنا حاضرون وقت حفل زفافها.,fourties,male,Arabic,common_voice_ar_19983488.wav
155,.خذني معك,not_defined,not_defined,Arabic,common_voice_ar_19375157.wav
156,لم يصل الباص بعد.,thirties,male,Arabic,common_voice_ar_19680201.wav
157,.صوتها ناعم و واضح,not_defined,not_defined,Arabic,common_voice_ar_19738680.wav
158,أنا متعب جداً.,twenties,male,Arabic,common_voice_ar_19963352.wav
159,أحاول النوم.,twenties,male,Arabic,common_voice_ar_19674080.wav
160,عليك أن تزور طبيباً.,teens,other,Arabic,common_voice_ar_20248435.wav
161,إنه طبيب.,not_defined,not_defined,Arabic,common_voice_ar_19665825.wav
162,أحس بأن لياقتي عالية.,not_defined,not_defined,Arabic,common_voice_ar_19216769.wav
163,تعال و اسبح معي.,twenties,male,Arabic,common_voice_ar_19348896.wav
164,وقعت نظارتك على الأرض.,twenties,male,Arabic,common_voice_ar_19204414.wav
165,ليس غبياً.,teens,male,Arabic,common_voice_ar_19436625.wav
166,لن يكون بوسعه القدوم بسبب مرضه.,not_defined,not_defined,Arabic,common_voice_ar_19260124.wav
167,اعتقلتها الشرطة.,not_defined,not_defined,Arabic,common_voice_ar_19647459.wav
168,.أخفض صوت المذياع,twenties,male,Arabic,common_voice_ar_19845509.wav
169,.بِتْنا في هاكوني,thirties,male,Arabic,common_voice_ar_19749071.wav
170,أين وُلِدَ توم ؟,not_defined,not_defined,Arabic,common_voice_ar_21004405.wav
171,تفضل بالجلوس من فضلك.,not_defined,not_defined,Arabic,common_voice_ar_19867381.wav
172,لن أكون سعيدًا ، لكن لن أقتل نفسي.,thirties,male,Arabic,common_voice_ar_20565344.wav
173,.استمر المطر أسبوعاً,not_defined,not_defined,Arabic,common_voice_ar_19117937.wav
174,سأُحوّل المبلغ.,not_defined,not_defined,Arabic,common_voice_ar_19533799.wav
175,.ضحك الجميع عليّ,not_defined,not_defined,Arabic,common_voice_ar_19222361.wav
176,.إنه يتيم حرب,twenties,male,Arabic,common_voice_ar_20268171.wav
177,رأيت بيتاً سطحه أحمر.,not_defined,not_defined,Arabic,common_voice_ar_19623195.wav
178,أنا حامل في الشهر الرابع.,twenties,male,Arabic,common_voice_ar_20755028.wav
179,سأعلمك كيف تقود السيارة.,not_defined,not_defined,Arabic,common_voice_ar_19555601.wav
180,البارحة كانت ليلة عيد ميلادي.,twenties,female,Arabic,common_voice_ar_19221982.wav
181,أؤلف أشعاراً في أوقات فراغي.,not_defined,not_defined,Arabic,common_voice_ar_21077935.wav
182,أنتم طلبة جدد.,not_defined,not_defined,Arabic,common_voice_ar_19532850.wav
183,امتلأ قلبي بالسعادة.,fourties,male,Arabic,common_voice_ar_19090171.wav
184,مساء الخير.,not_defined,not_defined,Arabic,common_voice_ar_19204623.wav
185,رأيتك راكباً سيارتك الجديدة.,twenties,male,Arabic,common_voice_ar_19234367.wav
186,بما أنك متعب ، من الأفضل لك أن تستريح.,thirties,male,Arabic,common_voice_ar_20565347.wav
187,يحب أن يسبح في الصيف.,thirties,female,Arabic,common_voice_ar_19176870.wav
188,عليّ أن أعيد الكتاب قبل السبت.,twenties,male,Arabic,common_voice_ar_20527677.wav
189,متى تنام ؟,teens,male,Arabic,common_voice_ar_19854412.wav
190,قطّعت أمي الكعك.,not_defined,not_defined,Arabic,common_voice_ar_20907903.wav
191,اتصل ابنها من نيويورك.,not_defined,not_defined,Arabic,common_voice_ar_19103186.wav
192,لا أخفي موافقتي على أن التقدم في الحياة يجب أن يكون بجهدك الشخصي,not_defined,not_defined,Arabic,common_voice_ar_19538952.wav
193,أساء الملك استخدام سلطته.,fourties,male,Arabic,common_voice_ar_19375923.wav
194,هناك الكثير من الكتب في غرفتي.,not_defined,not_defined,Arabic,common_voice_ar_19465399.wav
195,غطاه الوحل من رأسه إلى أخمص قدميه.,not_defined,not_defined,Arabic,common_voice_ar_19204175.wav
196,هذا الرجل تاجر.,not_defined,not_defined,Arabic,common_voice_ar_20907902.wav
197,صعدت إلى الحافلة الخطأ.,twenties,male,Arabic,common_voice_ar_19845508.wav
198,لمن تلك السيارة ؟,twenties,male,Arabic,common_voice_ar_19350418.wav
199,.مشى إلى البيت,not_defined,not_defined,Arabic,common_voice_ar_19204871.wav
200,عليّ الذهاب إلى النوم.,thirties,female,Arabic,common_voice_ar_20016691.wav
201,طلبت مني أن أفتح النافذة.,not_defined,not_defined,Arabic,common_voice_ar_19665821.wav
202,عيناها زرقاوتان.,thirties,female,Arabic,common_voice_ar_19247986.wav
203,.أنتم مدرّسون,not_defined,not_defined,Arabic,common_voice_ar_19220367.wav
204,.سأعطيك هذا الكتاب,teens,male,Arabic,common_voice_ar_19436624.wav
205,.سأقاتل حتى النفس الأخير,not_defined,not_defined,Arabic,common_voice_ar_19719101.wav
206,هل تكلمني ؟,twenties,male,Arabic,common_voice_ar_19370849.wav
207,.سأشتري السيارة بشرط أن يصلحوا المكابح أولاً,twenties,male,Arabic,common_voice_ar_19238833.wav
208,من فضلك أغلق الباب.,thirties,male,Arabic,common_voice_ar_19204111.wav
209,أحب أكل البطيخ.,not_defined,not_defined,Arabic,common_voice_ar_19843025.wav
210,.نصنع الزبدة و الجبنة من الحليب,not_defined,not_defined,Arabic,common_voice_ar_19205263.wav
211,انه حاليا في رحلة عمل في ناجويا.,twenties,male,Arabic,common_voice_ar_19395293.wav
212,لو سمحت ، أين البيض ؟,twenties,male,Arabic,common_voice_ar_19501891.wav
213,لا أدري.,not_defined,not_defined,Arabic,common_voice_ar_19249837.wav
214,ماعليك إلا ان تسأل.,not_defined,not_defined,Arabic,common_voice_ar_19842606.wav
215,ما زال توم في المستشفى.,twenties,male,Arabic,common_voice_ar_19651954.wav
216,.ها قد وصلنا,twenties,male,Arabic,common_voice_ar_20937879.wav
217,لا تهاجم الذئابُ الناسَ عادةً.,not_defined,not_defined,Arabic,common_voice_ar_20896985.wav
218,بيتك يحتاج لإصلاح.,not_defined,not_defined,Arabic,common_voice_ar_19206815.wav
219,.لم يعد لدينا سكر,not_defined,not_defined,Arabic,common_voice_ar_19533050.wav
220,تظاهرت بأنها مريضة.,not_defined,not_defined,Arabic,common_voice_ar_20023512.wav
221,توم صديقي.,not_defined,not_defined,Arabic,common_voice_ar_19778911.wav
222,تم تنفيذ جميع العمليات من مونتريال وتورونتو,twenties,male,Arabic,common_voice_ar_19968637.wav
223,.قدماها طويلتان,not_defined,not_defined,Arabic,common_voice_ar_19204832.wav
224,من اهتم بالكلب في غيابك ؟,twenties,male,Arabic,common_voice_ar_19529955.wav
225,لقد تركت أنوارك مفتوحة.,thirties,male,Arabic,common_voice_ar_19680203.wav
226,توقّف الحاسوب عن العمل بعد تحديث آلي للنظام,not_defined,not_defined,Arabic,common_voice_ar_19260125.wav
227,ماتوا واحداً تلو الآخر.,twenties,male,Arabic,common_voice_ar_19375666.wav
228,وَأَمرُهُم شُورَى بَينَهُم,not_defined,not_defined,Arabic,common_voice_ar_19249838.wav
229,يقال أنه لن يعود.,not_defined,not_defined,Arabic,common_voice_ar_19641664.wav
230,أين وُلد ؟,teens,female,Arabic,common_voice_ar_19194200.wav
231,من فضلك تعال.,not_defined,not_defined,Arabic,common_voice_ar_19205717.wav
232,يستحسن أن تغادر الآن.,twenties,male,Arabic,common_voice_ar_20937863.wav
233,إنه لاعب تنس.,not_defined,not_defined,Arabic,common_voice_ar_19842249.wav
234,تعرف الدعسوقة في بعض الأحيان باسم الخنفساء,not_defined,not_defined,Arabic,common_voice_ar_21004363.wav
235,الجو مشمس اليوم.,thirties,male,Arabic,common_voice_ar_21179256.wav
236,.تبدو الأرض مبلولة,not_defined,not_defined,Arabic,common_voice_ar_20907896.wav
237,إنك فيلسوف ، أليس ذلك صحيحاً ؟,twenties,female,Arabic,common_voice_ar_21177669.wav
238,.يتغيّر الجوّ من يوم إلى آخر,twenties,male,Arabic,common_voice_ar_19356231.wav
239,هل عندك سيارة ؟,twenties,female,Arabic,common_voice_ar_19217728.wav
240,ستبدأ الدراسة بعد غد.,not_defined,not_defined,Arabic,common_voice_ar_21100425.wav
241,اخي الصغير يشاهد التلفاز.,not_defined,not_defined,Arabic,common_voice_ar_19743245.wav
242,سني يؤلمني.,not_defined,not_defined,Arabic,common_voice_ar_19204881.wav
243,أحضرت لك شيئا بسيطا.,twenties,male,Arabic,common_voice_ar_19579950.wav
244,عليك أن تبدأ حالاً.,not_defined,not_defined,Arabic,common_voice_ar_19633221.wav
245,أي طالب يمكنه الرد على هذا السؤال.,not_defined,not_defined,Arabic,common_voice_ar_19633222.wav
246,هل اللغة الإنجليزية أصعب من اليابانية ؟,not_defined,not_defined,Arabic,common_voice_ar_19968507.wav
247,ذهبت إلى الحديقة الحيوان.,not_defined,not_defined,Arabic,common_voice_ar_19225118.wav
248,لو كنت مكانك لأخذت بنصيحته.,twenties,female,Arabic,common_voice_ar_21177729.wav
249,أرادت أن تكون مدرسةً.,not_defined,not_defined,Arabic,common_voice_ar_20444732.wav
250,القرار لك.,not_defined,not_defined,Arabic,common_voice_ar_19204687.wav
251,بلغها أن تعاود الإتصال بي من فضلك.,thirties,male,Arabic,common_voice_ar_19219148.wav
252,انتبه! هناك شاحنة قادمة !,fourties,male,Arabic,common_voice_ar_19375924.wav
253,قابلت رجلاً عجوزاً قرب المحطة.,not_defined,not_defined,Arabic,common_voice_ar_19443057.wav
254,.لا ، لن تحتاج,thirties,male,Arabic,common_voice_ar_19367226.wav
255,كم الساعة على أي حال ؟,not_defined,not_defined,Arabic,common_voice_ar_19204408.wav
256,وعرف الفارسي الكبير عن وجوده قبل أن يفعله,not_defined,not_defined,Arabic,common_voice_ar_19842250.wav
257,.عليّ أن أختار بين الذهاب معه أو البقاء هنا وحدي,not_defined,not_defined,Arabic,common_voice_ar_19249839.wav
258,ماذا تفعل ؟,thirties,female,Arabic,common_voice_ar_20026854.wav
259,الصبر صبران: صبر على ما تكره وصبر على ما تحب,not_defined,not_defined,Arabic,common_voice_ar_19205900.wav
260,.تفاجأت زوجتي,not_defined,not_defined,Arabic,common_voice_ar_19743246.wav
261,.بيتك أكبر من بيتي ثلاث مرات,thirties,male,Arabic,common_voice_ar_19219151.wav
262,.يعمل جون بجدّ,not_defined,not_defined,Arabic,common_voice_ar_19808477.wav
263,أحب براين أن يتذكر الأيام الخوالي,not_defined,not_defined,Arabic,common_voice_ar_19330413.wav
264,أبقَوْ حبهما سراً.,thirties,male,Arabic,common_voice_ar_20136670.wav
265,اعتقدت أنه مريض.,thirties,male,Arabic,common_voice_ar_21179258.wav
266,واستمع راؤول مرة أخرى إلى حكاية المنزل,not_defined,not_defined,Arabic,common_voice_ar_19785100.wav
267,نصحته ألا يضع الكثير من السكر.,twenties,male,Arabic,common_voice_ar_19233447.wav
268,هذا المنتزه يذكّرني بطفولتي.,twenties,female,Arabic,common_voice_ar_19228383.wav
269,.مج بطول كن,not_defined,not_defined,Arabic,common_voice_ar_19206774.wav
270,قابلته البارحة.,twenties,female,Arabic,common_voice_ar_21101378.wav
271,.نمرّ دائمًا بجانب مكتب البريد في طريقنا إلى العمل,twenties,female,Arabic,common_voice_ar_19218207.wav
272,.هما في الغرفة,not_defined,not_defined,Arabic,common_voice_ar_19843021.wav
273,كل من هُوَ وحيد ، وحيد لأنه خائف من الآخرين.,not_defined,not_defined,Arabic,common_voice_ar_19488103.wav
274,.أسكن في أوساكا,not_defined,not_defined,Arabic,common_voice_ar_19206760.wav
275,إلى ماذا تنظر ؟,not_defined,not_defined,Arabic,common_voice_ar_19206882.wav
276,لا أنوي أن أكون أنانيا.,thirties,male,Arabic,common_voice_ar_20565346.wav
277,.لا يعرف أحد عنوانه إلّا توم,not_defined,not_defined,Arabic,common_voice_ar_19533795.wav
278,أصبحت ابنتها امرأة جميلة.,not_defined,not_defined,Arabic,common_voice_ar_19205875.wav
279,.أنا عاطل عن العمل,not_defined,not_defined,Arabic,common_voice_ar_19217308.wav
280,جميعنا متأكدون من براءته.,twenties,female,Arabic,common_voice_ar_19838544.wav
281,البارحة كان عيد ميلادي.,twenties,male,Arabic,common_voice_ar_19204417.wav
282,لا يمكنني فهم ما تعنيه هذه الجملة بالضبط.,twenties,male,Arabic,common_voice_ar_19204463.wav
283,ذكر هاتوياما أنه يعيل عائلته بالمراهنة على سباق الخيل.,thirties,female,Arabic,common_voice_ar_19064748.wav
284,.كشف عن حبه,teens,male,Arabic,common_voice_ar_19854419.wav
285,باستطاعة بيل أن يركض أسرع من بوب.,twenties,male,Arabic,common_voice_ar_19340844.wav
286,أظن أنه من الأفضل لك أن تبدأ حمية غذائية.,twenties,male,Arabic,common_voice_ar_19675585.wav
287,بالرغم من أنني أحسست بأن هناك شيئاً غريباً ، لم أعرف بالتحديد ما هو.,thirties,female,Arabic,common_voice_ar_19061960.wav
288,كان أبي على وشك أن يغادر عندما رن جرس الهاتف.,not_defined,not_defined,Arabic,common_voice_ar_19488102.wav
289,.أفاعي الكوبرا تكون دائمًا متيقظة إلى أبعد الحدود,fourties,male,Arabic,common_voice_ar_19375894.wav
290,يمكنك الذهاب إلى المحطة بالحافلة.,not_defined,not_defined,Arabic,common_voice_ar_19587991.wav
